time,accel_x,accel_y,accel_z,accel_uni,strain
47.443289999999934,0.2,0.3,-0.4,-3.8,
47.45309999999995,0.7,0.0,0.3,,1.32
47.462909999999965,0.7,0.0,0.3,,1.32
47.472729999999956,0.1,0.0,0.3,,0.54
47.48253999999997,0.1,0.0,0.3,,0.54
47.49234999999999,0.5,-0.5,-0.5,,0.68
47.50207999999998,0.5,-0.5,-0.5,-0.6,
47.511889999999994,0.9,-0.9,0.1,,0.73
47.521709999999985,0.9,-0.9,0.1,,0.73
47.53152,-0.3,-0.2,-0.1,,0.54
47.541330000000016,-0.3,-0.2,-0.1,,0.54
47.55115000000001,-0.3,-0.2,-0.1,,1.32
47.56095999999991,0.4,0.2,-0.1,,1.32
47.570769999999925,0.4,0.2,-0.1,-4.8,
47.580589999999916,-0.3,0.1,-0.4,0.8,
47.59039999999993,-0.3,0.1,-0.4,,1.0
47.60020999999995,0.1,1.3,-0.2,,0.73
47.61002999999994,0.1,1.3,-0.2,,0.73
47.61975999999993,0.3,-0.2,-0.2,,1.09
47.629569999999944,0.3,-0.2,-0.2,,1.09
47.63937999999996,0.6,0.3,0.3,3.0,
47.64919999999995,0.6,0.3,0.3,,0.54
47.65900999999997,-0.2,0.1,0.2,,0.04
47.66881999999998,-0.2,0.1,0.2,,0.04
47.67863999999997,1.3,-0.3,0.0,,1.46
47.68844999999999,1.3,-0.3,0.0,,1.46
47.698260000000005,-1.1,0.4,-0.1,-5.2,
47.708079999999995,-1.1,0.4,-0.1,,1.96
47.71789000000001,-0.3,-1.3,-0.1,,0.63
47.72769999999991,-0.3,-1.3,-0.1,,0.63
47.73743000000002,0.9,-0.4,1.5,,1.46
47.74723999999992,0.9,-0.4,1.5,,1.46
47.75705999999991,0.9,-0.4,1.5,-6.6,
47.766869999999926,-0.5,-0.8,-0.2,-6.6,
47.77667999999994,-0.5,-0.8,-0.2,,1.96
47.78649999999993,-0.4,0.1,0.3,,1.41
47.79630999999995,-0.4,0.1,0.3,0.8,
47.806119999999964,0.4,0.0,-0.3,,1.09
47.815939999999955,0.4,0.0,-0.3,,1.09
47.82574999999997,0.4,-1.2,0.4,0.8,
47.83555999999999,0.4,-1.2,0.4,,0.77
47.84528999999998,1.4,0.4,-0.6,,0.36
47.85510999999997,1.4,0.4,-0.6,3.0,
47.864919999999984,0.2,-0.6,0.0,,0.86
47.87473,0.2,-0.6,0.0,,0.86
47.88454999999999,0.0,-0.6,-1.5,,1.0
47.894360000000006,0.0,-0.6,-1.5,,1.0
47.90416999999991,-0.2,-0.5,-0.3,-1.0,
